depth_km,strike,dip,rake,mean_windowed_cc,n_window_traces,median_shift_s,previous_mean_windowed_cc
6,70,60,-160,0.6844152053771134,24,3.5,0.7545555777102916
6,70,50,-160,0.6727276836576827,24,3.3000000000000003,0.7554451304797692
6,70,60,-170,0.657672752769519,24,3.4000000000000004,0.7521329844724787
6,70,50,-170,0.644858371445841,24,3.3000000000000003,0.7529040054305309
6,60,70,-160,0.6434898461418945,24,3.5,0.7566069789345894
6,60,60,-160,0.642321672502407,24,3.7,0.7566990375489953
6,60,70,-150,0.6359211635318754,24,3.4000000000000004,0.752120288927705
6,60,70,-170,0.6358175811616911,24,3.3000000000000003,0.7581183634093475
6,60,60,-170,0.632891710658947,24,3.5,0.7564882532605175
6,60,80,-160,0.6264022554257808,24,3.5,0.7525032321911922
6,60,80,-170,0.6251171865367305,24,3.4000000000000004,0.7560980907248425
6,60,70,-180,0.5946638576306619,24,3.5,0.758215660894058
6,60,60,-180,0.5926894055615343,24,3.4000000000000004,0.7551904436372655
6,50,70,-170,0.5863279719900002,24,3.6,0.7523054627034276
6,60,80,-180,0.5860173418183731,24,3.6,0.7575727468008897
6,50,80,-180,0.5752872705639317,24,3.6,0.7539938967066114
6,50,70,-180,0.5739238620658519,24,3.5,0.75248544055073
6,50,60,-170,0.568093760409626,24,3.9000000000000004,0.7520844557611627
6,50,60,-180,0.564606488474225,24,3.4000000000000004,0.7524494001413216
6,60,90,-180,0.5616682611003126,24,3.8000000000000003,0.7534317946994687
