depth_km,strike,dip,rake,station,window,component,cc,shift_s
6,60,70,-180,IW.DLMT,pnl,BHZ,0.21902630650804555,5.0
6,60,70,-180,IW.DLMT,pnl,BH1,0.5728016224849667,5.0
6,60,70,-180,IW.DLMT,pnl,BH2,0.21295693534241952,5.0
6,60,70,-180,IW.DLMT,surface,BHZ,0.6706591221290823,5.4
6,60,70,-180,IW.DLMT,surface,BH1,0.9179955868732964,5.4
6,60,70,-180,IW.DLMT,surface,BH2,0.7991129972641865,5.4
6,60,70,-180,IW.MFID,pnl,BHZ,0.646046449913843,2.0
6,60,70,-180,IW.MFID,pnl,BH1,0.7597686180412949,2.0
6,60,70,-180,IW.MFID,pnl,BH2,0.9729335362252743,2.0
6,60,70,-180,IW.MFID,surface,BHZ,0.06859440441994481,2.0
6,60,70,-180,IW.MFID,surface,BH1,-0.06473804024580282,2.0
6,60,70,-180,IW.MFID,surface,BH2,0.34132057980976005,2.0
6,60,70,-180,IW.PLID,pnl,BHZ,0.8518279011916643,2.8000000000000003
6,60,70,-180,IW.PLID,pnl,BH1,0.945846962418776,2.8000000000000003
6,60,70,-180,IW.PLID,pnl,BH2,0.9645994702683701,2.8000000000000003
6,60,70,-180,IW.PLID,surface,BHZ,-0.1738766665150408,2.0
6,60,70,-180,IW.PLID,surface,BH1,0.48240555406578933,2.0
6,60,70,-180,IW.PLID,surface,BH2,0.23383625966569735,2.0
6,60,70,-180,US.BMO,pnl,BHZ,0.900427951882498,3.5
6,60,70,-180,US.BMO,pnl,BH1,0.9221650692254953,3.5
6,60,70,-180,US.BMO,pnl,BH2,0.19309371892926006,3.5
6,60,70,-180,US.BMO,surface,BHZ,0.017709293679307143,2.0
6,60,70,-180,US.BMO,surface,BH1,0.7527731769953597,2.0
6,60,70,-180,US.BMO,surface,BH2,0.3746399734588647,2.0
6,60,70,-180,US.BOZ,pnl,BHZ,0.24203247315795937,6.0
6,60,70,-180,US.BOZ,pnl,BH1,-0.4381094337475099,6.0
6,60,70,-180,US.BOZ,pnl,BH2,-0.40086048424694676,6.0
6,60,70,-180,US.BOZ,surface,BHZ,0.7814188210769311,6.0
6,60,70,-180,US.BOZ,surface,BH1,0.9354833157690229,6.0
6,60,70,-180,US.BOZ,surface,BH2,0.7799087569224691,6.0
6,60,70,-180,US.DUG,pnl,BHZ,0.14743748728845243,6.0
6,60,70,-180,US.DUG,pnl,BH1,0.34243248204366894,6.0
6,60,70,-180,US.DUG,pnl,BH2,-0.11827562820650338,6.0
6,60,70,-180,US.DUG,surface,BHZ,0.12183817018474795,2.8000000000000003
6,60,70,-180,US.DUG,surface,BH1,0.7855847182430044,2.8000000000000003
6,60,70,-180,US.DUG,surface,BH2,0.8043181984793484,2.8000000000000003
6,60,70,-180,US.ELK,pnl,BHZ,0.9851111136288704,2.6
6,60,70,-180,US.ELK,pnl,BH1,0.9864626157658649,2.6
6,60,70,-180,US.ELK,pnl,BH2,0.9409435964822065,2.6
6,60,70,-180,US.ELK,surface,BHZ,0.6110996678891853,5.4
6,60,70,-180,US.ELK,surface,BH1,0.19369330268124013,5.4
6,60,70,-180,US.ELK,surface,BH2,0.8069351819407314,5.4
6,60,70,-180,US.HAWA,pnl,BHZ,0.8638651324090664,3.1
6,60,70,-180,US.HAWA,pnl,BH1,0.9085727590058901,3.1
6,60,70,-180,US.HAWA,pnl,BH2,0.6392725909462862,3.1
6,60,70,-180,US.HAWA,surface,BHZ,0.8406542013048596,6.0
6,60,70,-180,US.HAWA,surface,BH1,0.856739475691599,6.0
6,60,70,-180,US.HAWA,surface,BH2,0.7873933331529088,6.0
6,60,70,-180,US.HWUT,pnl,BHZ,0.8919525608080403,3.5
6,60,70,-180,US.HWUT,pnl,BH1,0.8266600293788279,3.5
6,60,70,-180,US.HWUT,pnl,BH2,0.6988491714522024,3.5
6,60,70,-180,US.HWUT,surface,BHZ,0.5634983532632297,5.1000000000000005
6,60,70,-180,US.HWUT,surface,BH1,0.8855307560026033,5.1000000000000005
6,60,70,-180,US.HWUT,surface,BH2,0.8864432137706579,5.1000000000000005
6,60,70,-180,US.MSO,pnl,BHZ,0.9515369360215702,3.7
6,60,70,-180,US.MSO,pnl,BH1,0.9392439608821214,3.7
6,60,70,-180,US.MSO,pnl,BH2,0.7296052143024618,3.7
6,60,70,-180,US.MSO,surface,BHZ,0.8266518912430799,5.6000000000000005
6,60,70,-180,US.MSO,surface,BH1,0.9100489174396161,5.6000000000000005
6,60,70,-180,US.MSO,surface,BH2,0.918941834116355,5.6000000000000005
6,60,70,-180,US.NEW,pnl,BHZ,0.9470583719570459,2.6
6,60,70,-180,US.NEW,pnl,BH1,0.917411021565007,2.6
6,60,70,-180,US.NEW,pnl,BH2,-0.7921325587366598,2.6
6,60,70,-180,US.NEW,surface,BHZ,0.510645015707105,2.9000000000000004
6,60,70,-180,US.NEW,surface,BH1,0.5518926983818043,2.9000000000000004
6,60,70,-180,US.NEW,surface,BH2,0.9654702333930025,2.9000000000000004
6,60,70,-180,US.WVOR,pnl,BHZ,0.9064598948100667,2.0
6,60,70,-180,US.WVOR,pnl,BH1,0.1792897928094298,2.0
